X,Y,id,type,name,floor
226.21932718835,421.693750513145,6,room,ห้อง2104,1
201.027335719213,421.798571559479,7,room,ห้อง2103,1
201.027335719213,427.389027364003,9,room,ห้อง2102,1
206.338268733511,405.516369028803,12,room,ห้องน้ำช.,1
223.878323820205,405.516369028803,13,room,ห้องน้ำญ.,1
243.514799833596,415.09002459405,1,room,room01,1
213.04681569894,426.690220388438,2,room,room02,1
191.244038061296,416.487638545181,3,room,room03,1
242.955754253143,426.969743178664,4,room,ห้อง2105,1
226.324148234684,430.463778056492,5,room,ห้องวารสาร,1
,,"6",room,ห้อง2104,"1"
,,"7",room,ห้อง2103,"1"
,,"9",room,ห้อง2102,"1"
,,"8",room,ห้องน้ำญ.,"1"
,,"10",room,ห้องน้ำช.,"1"
,,"11",Elevator,ลิฟท์ชั้น1,"1"
,,"12",room,ห้องน้ำช.,"1"
,,"13",room,ห้องน้ำญ.,"1"
,,"1",room,room01,"1"
,,"2",room,room02,"1"
,,"3",room,room03,"1"
,,"4",room,ห้อง2105,"1"
,,"5",room,ห้องวารสาร,"1"
