id,name,type,x,y,floor
custom_1758020878737,ห้อง 2105,room,2441.2646484375,801.8875732421875,1
custom_1758020970885,ห้อง 2106,room,2441.2646484375,1048.7664794921875,1
custom_1758021067599,ห้องวารสารต่างประเทศ,room,2094.384033203125,739.3865966796875,1
custom_1758021082517,ห้อง2104,room,2091.259033203125,923.7644653320312,1
custom_1758021093147,ห้องสมุด,room,1806.879638671875,798.7625122070312,1
custom_1758021143562,ห้อง 2103,room,1566.2508544921875,933.1396484375,1
custom_1758021168809,ห้อง 2102,room,1563.1258544921875,798.7625122070312,1
custom_1758021204556,ศูนย์เรียนรู้,room,1366.2476806640625,1011.265869140625,1
custom_1758021247540,ห้องน้ำหญิง,room,2041.25830078125,1248.76953125,1
custom_1758021270434,ห้องน้ำชาย,room,1678.752685546875,1251.8946533203125,1
custom_1758021314442,ลิฟท์,elevator,1572.5009765625,1255.0196533203125,1
custom_1758021352420,บันได(ขวา),stairs,2285.01220703125,717.51123046875,1
custom_1758021373835,บันได(ซ้าย),room,1481.87451171875,680.0106811523438,1
custom_1758021393265,บันไดโรงรถ,stairs,2128.759765625,1248.76953125,1
custom_1758028286789,01,door,2303.762451171875,798.7625122070312,1
custom_1758028296582,02,door,2303.762451171875,923.7644653320312,1
custom_1758028306341,03,door,2381.888671875,1117.517578125,1
custom_1758028317418,04,door,2028.7581787109375,989.3905029296875,1
custom_1758028324194,05,door,2031.8831787109375,858.138427734375,1
custom_1758028334497,06,door,2106.88427734375,1211.26904296875,1
custom_1758028344356,07,door,2072.5087890625,1211.26904296875,1
custom_1758028354458,08,door,1647.5020751953125,1211.26904296875,1
custom_1758028365672,09,door,1963.132080078125,801.8875732421875,1
custom_1758028388892,10,door,1806.879638671875,989.3905029296875,1
custom_1758028397843,11,room,1625.6268310546875,873.763671875,1
custom_1758028406394,12,room,1597.5013427734375,858.138427734375,1
custom_1758028421264,13,door,1569.3758544921875,1205.0189208984375,1
custom_1758028436379,14,door,1459.9991455078125,1208.1439208984375,1
custom_1758028445899,15,door,1419.37353515625,889.388916015625,1
custom_1758028454883,16,door,1309.996826171875,1117.517578125,1
custom_1758028477278,17,door,1503.7498779296875,708.1361083984375,1
custom_1758028493306,18,door,2260.01171875,1208.1439208984375,1
N001,ห้อง2205,room,2573.0,696.0,2
N002,ห้อง 2204,room,2073.0,511.0,2
N003,ห้อง 2203,room,2076.0,868.0,2
N004,ห้องปฏิบัติการ 4,room,1748.0,499.0,2
N005,ห้องปฏิบัติการ 5,room,1748.0,708.0,2
N006,ห้องปฏิบัติการ 6,room,1744.0,918.0,2
N007,ห้องปฏิบัติการ 3,room,1394.0,499.0,2
N008,ห้องปฏิบัติการ 2,room,1397.0,724.0,2
N009,ห้องปฏิบัติการ 1,room,1397.0,911.0,2
N010,ห้องน้ำหญิง,room,1957.0,1252.0,2
N011,ห้องน้ำชาย,room,1523.0,1261.0,2
N012,ลิฟท์ ชั้น2,elevator,1335.0,1258.0,2
N013,ห้อง 2201,room,1032.0,986.0,2
N014,MS1,room,1029.0,1333.0,2
N015,MS2,room,822.0,1336.0,2
N016,MS3,room,1022.0,1693.0,2
N017,MS4,room,1301.0,1639.0,2
N018,MS5,room,1523.0,1618.0,2
N019,ชมรมวัสดุศาสตร์,room,1510.0,1893.0,2
N020,ห้องครุภัณฑ์,room,1304.0,1833.0,2
N021,บันไดขวา,stair,2323.0,424.0,2
N022,บันไดซ้าย,stair,1188.0,508.0,2
N023,ประตู2205 1,door,2385.0,668.0,2
N024,ประตู 2205 2,door,2382.0,749.0,2
N025,2203,door,2260.0,749.0,2
N026,2204,door,2260.0,671.0,2
N027,main,door,1566.0,1074.0,2
N028,lab2,door,1529.0,664.0,2
N029,lab1,door,1485.0,780.0,2
N030,lab3,door,1535.0,586.0,2
N031,lab4,door,1604.0,586.0,2
N032,lab5,door,1601.0,668.0,2
N033,lab6,door,1651.0,780.0,2
N034,Door N034,door,919.0,1074.0,2
N035,Door N035,door,1122.0,1168.0,2
N036,Door N036,door,2060.0,1199.0,2
N037,Door N037,door,1447.0,1199.0,2
N038,Door N038,door,1335.0,1202.0,2
N039,Door N039,door,1185.0,1199.0,2
N040,Door N040,door,1241.0,1511.0,2
N041,Door N041,door,1444.0,1627.0,2
N042,Door N042,door,1347.0,1724.0,2
N043,Door N043,door,1347.0,1758.0,2
N044,Door N044,door,1376.0,1858.0,2
N045,Door N045,door,872.0,1214.0,2
N046,Door N046,door,935.0,1252.0,2
N047,Door N047,door,1016.0,1568.0,2
