id,x,y,name,type,floor
N064,2373.0,1161.0,ห้องปฏิบัติการทางสิ่งแวดล้อม,room,4
N065,2307.0,1068.0,ห้องAnimal Lab,room,4
N066,2307.0,993.0,ห้องเก็บสารเคมี,room,4
N067,2323.0,911.0,ห้องปฏิบัติการกลาง 2409,room,4
N068,2373.0,818.0,ห้องปฏิบัติการPollen 2408,room,4
N069,2382.0,680.0,ห้องปฏิบัติการPollen 2407,room,4
N070,1998.0,946.0,ห้องปฏิบัติการเทคโนโลยีชีวภาพ 2405,room,4
N071,2073.0,1055.0,ห้องเตรียมปฏิบัติการ 2405,room,4
N072,2004.0,730.0,ห้องปฏิบัติการสัตววิทยา 2406,room,4
N073,1751.0,793.0,ห้องปฏิบัติการชีววิทยา 2404,room,4
N074,1701.0,1074.0,ห้องพักอาจารย์ 2404,room,4
N075,1497.0,968.0,ห้องสัมนา 2402,room,4
N076,1497.0,730.0,ห้อง Posthavest 2403,room,4
N077,1444.0,605.0,ห้องเตรียมปฏิบัติการ 2403,room,4
N078,2063.0,602.0,ห้องอณูชีววิทยา 2406,room,4
N079,1929.0,1255.0,ห้องน้ำหญิง,room,4
N080,1579.0,1258.0,ห้องน้ำชาย,room,4
N081,1441.0,1261.0,ลิฟท์ ชั้น4,elevator,4
N082,1197.0,1055.0,ห้องสำนักงาน 2401,room,4
N083,1060.0,1505.0,โซนเตรียมอาหาร,room,4
N084,1210.0,1496.0,ห้องถ่ายเนื้อเยื้อ,room,4
N085,1166.0,1324.0,ห้องสำนักงานเพาะเลี้ยงเนื้อเยื้อ,room,4
N086,1035.0,1380.0,ห้องเตรียมปฏิบัติการ,room,4
N087,1038.0,1652.0,ห้องเก็บของ,room,4
N088,1204.0,1733.0,ห้องเก็บของ,room,4
N089,1510.0,1336.0,ห้องปฏิบัติการสิ่งแวดล้อมและจุลชีววิทยา,room,4
N090,1460.0,1471.0,ห้องประชุมสาขาวิชา,room,4
N091,1444.0,1521.0,ห้องคอมพิวเตอร์,room,4
N092,1588.0,1505.0,ห้องบรรยาย ป.โท,room,4
N093,1488.0,1661.0,Room N093,room,4
N094,1648.0,1686.0,ห้องเตรียมปฏิบัติการ,room,4
N095,2066.0,1255.0,บันไดกลาง,stair,4
N096,2191.0,618.0,บันไดขวา,stair,4
N097,1322.0,686.0,บันไดซ้าย,stair,4
N098,2241.0,1161.0,Door N098,door,4
N099,2235.0,908.0,Door N099,door,4
N100,2382.0,964.0,Door N100,door,4
N101,2435.0,964.0,Door N101,door,4
N102,2432.0,930.0,Door N102,door,4
N103,2382.0,1043.0,Door N103,door,4
N104,2429.0,1043.0,Door N104,door,4
N105,2148.0,868.0,Door N105,door,4
N106,2148.0,799.0,Door N106,door,4
N107,2129.0,1024.0,Door N107,door,4
N108,1866.0,858.0,Door N108,door,4
N109,1863.0,811.0,Door N109,door,4
N110,1635.0,814.0,Door N110,door,4
N111,1632.0,855.0,Door N111,door,4
N112,1776.0,1036.0,Door N112,door,4
N113,1823.0,1021.0,Door N113,door,4
N114,1813.0,1114.0,Door N114,door,4
N115,1363.0,1077.0,Door N115,door,4
N116,1372.0,871.0,Door N116,door,4
N117,1372.0,799.0,Door N117,door,4
N118,1322.0,1211.0,Door N118,door,4
N119,1116.0,1114.0,Door N119,door,4
N120,1272.0,1161.0,Door N120,door,4
N121,1129.0,1293.0,Door N121,door,4
N122,1072.0,1418.0,Door N122,door,4
N123,1141.0,1424.0,Door N123,door,4
N124,1135.0,1380.0,Door N124,door,4
N125,1082.0,1611.0,Door N125,door,4
N126,1129.0,1718.0,Door N126,door,4
N127,1144.0,1568.0,Door N127,door,4
N128,1147.0,1633.0,Door N128,door,4
N129,1201.0,1671.0,ห้องเลี้ยงต้นไม้,room,4
N130,2019.0,1218.0,Door N130,door,4
N131,1985.0,1214.0,Door N131,door,4
N132,1526.0,1218.0,Door N132,door,4
N133,1441.0,1214.0,Door N133,door,4
N134,2132.0,649.0,Door N134,door,4
N135,1376.0,649.0,Door N135,door,4
N136,1366.0,1577.0,Door N136,door,4
N137,1372.0,1468.0,Door N137,door,4
N138,1391.0,1452.0,Door N138,door,4
N139,1388.0,1486.0,Door N139,door,4
N140,1369.0,1324.0,Door N140,door,4
N141,1626.0,1618.0,Door N141,door,4
N142,2235.0,818.0,Door N142,door,4
N143,2232.0,736.0,Door N143,door,4
