id,x,y,name,type,floor
N144,2382.0,686.0,ห้องบรรยายคอมพิวเตอร์ 8,room,6
N145,2007.0,686.0,ห้องบรรยายคอมพิวเตอร์ 7,room,6
N146,2010.0,861.0,ห้องเก็บของ,room,6
N147,2323.0,861.0,ห้องชมรม,room,6
N148,2457.0,861.0,ห้องพักบุคลากร,room,6
N149,2373.0,1046.0,ห้องบรรยายคอมพิวเตอร์ 6,room,6
N150,2010.0,1036.0,ห้องบรรยายคอมพิวเตอร์ 5,room,6
N151,1929.0,1114.0,Server,room,6
N152,1751.0,993.0,ห้องปฏิบัติการคอมพิวเตอร์ 3,room,6
N153,1748.0,733.0,ห้องปฏิบัติการคอมพิวเตอร์ 4,room,6
N154,1472.0,974.0,ห้องปฏิบัติการคอมพิวเตอร์ 2,room,6
N155,1485.0,683.0,ห้องปฏิบัติการคอมพิวเตอร์ 1,room,6
N156,1201.0,1068.0,ห้องสำนักงาน 2601,room,6
N157,1132.0,1183.0,ห้องค้นคว้า,room,6
N158,1060.0,652.0,ห้องประชุมสาขาวิชา,room,6
N159,1910.0,1280.0,ห้องน้ำหญิง,room,6
N160,1576.0,1271.0,ห้องน้ำชาย,room,6
N161,1435.0,1289.0,ลิฟท์ ชั้น 6,elevator,6
N162,2069.0,1274.0,บันไดกลาง,stair,6
N163,2185.0,683.0,บันไดขวา,stair,6
N164,1319.0,752.0,บันไดซ้าย,stair,6
N165,2135.0,764.0,Door N165,door,6
N166,2238.0,761.0,Door N166,door,6
N167,2138.0,918.0,Door N167,door,6
N168,2235.0,921.0,Door N168,door,6
N169,2135.0,961.0,Door N169,door,6
N170,2235.0,964.0,Door N170,door,6
N171,1610.0,1136.0,Door N171,door,6
N172,1573.0,1139.0,Door N172,door,6
N173,1576.0,774.0,Door N173,door,6
N174,1598.0,777.0,Door N174,door,6
N175,1610.0,858.0,Door N175,door,6
N176,1369.0,1099.0,Door N176,door,6
N177,1366.0,780.0,Door N177,door,6
N178,1272.0,1049.0,Door N178,door,6
N179,1269.0,1161.0,Door N179,door,6
N180,1138.0,696.0,Door N180,door,6
N181,2016.0,1236.0,Door N181,door,6
N182,1985.0,1236.0,Door N182,door,6
N183,1523.0,1236.0,Door N183,door,6
N184,1435.0,1236.0,Door N184,door,6
N185,2404.0,921.0,Door N185,door,6
